"check_in_count","average_stars","n_photo","review_count","scaled_capped_business_proximity","landmarks_nearby","scaled_capped_surrounding_children","scaled_capped_surrounding_youth","scaled_capped_surrounding_adults","scaled_capped_surrounding_elders","attribute_count","restaurantspricerange2","alcohol","wifi","isromantic","isintimate","istouristy","ishipster","isdivey","isclassy","istrendy","isupscale","iscasual","parking_garage","parking_street","parking_validated","parking_lot","parking_valet","bikeparking","outdoorseating","restaurantstableservice","byob","businessacceptscreditcards","hastv","restaurantsreservations","restaurantsdelivery"
3.09104245335832,4.619,1,21,2.09887725362105,25,0.00144743984078162,-0.26731902590904,0.413626083678854,0.280070754716981,11,1,"Non_alcohol","None","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","1"
0,2,0,3,0.46726717220524,13,0.15357336710693,1.68836873123541,0.0738409347908029,0.190212264150943,6,1,"Non_alcohol","None","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1"
5.46383180502561,4.4132,55,167,1.58247301383956,6,-0.490488006617039,0.470266959318054,-0.506234224659822,-0.394684177611007,19,2,"Full_bar","Free","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1"
5.52545293913178,4.3284,55,201,1.58247301383956,6,-0.516410349194862,0.520627154453464,-0.507519788918206,-0.310672169811321,19,2,"Full_bar","Free","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1"
0,4.1429,9,7,-0.137778284945857,3,0.67400294889776,1.73421469041907,0.565217391304348,0.540587867417136,3,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
2.89037175789616,4.1714,9,35,-0.137778284945857,3,0.660358241360593,1.89408428777938,0.58377308707124,0.61686320754717,3,1,"Non_alcohol","None","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1"
2.77258872223978,3.44,1,25,-0.348513635548165,1,0.4109396914446,0.348119034250421,0.156927865181333,0.416635397123202,15,2,"Non_alcohol","Free","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","1"
3.17805383034795,3.3714,1,35,-0.348513635548165,1,0.354695132983535,0.331813632825531,0.186015831134565,0.508785377358491,15,2,"Non_alcohol","Free","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","1"
0,5,0,1,0.00756905215260518,16,0.69522062789945,1.33990097493747,1.40532898107908,1.19255784865541,8,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1"
0,5,0,1,0.00756905215260518,16,0.704975574452687,1.45318581118648,1.36338107802488,1.13531839622642,8,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1"
3.2188758248682,4.1667,0,24,0.101918066193162,11,0.0561009817671809,1.59435455055893,0.252747044199419,0.30462789243277,5,2,"Full_bar","Free","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","0","0"
3.49650756146648,4.1333,0,15,0.101918066193162,11,0.0258368011579519,1.75369732013788,0.296852619675839,0.368926886792453,5,2,"Full_bar","Free","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0"
6.12905021006055,3.9506,78,243,0.440307875860298,23,-0.757794799870536,-0.832525139094482,-1.03516596132314,-0.901938711694809,15,2,"Non_alcohol","Free","0","0","0","0","0","1","0","0","1","1","1","0","0","0","1","1","0","1","1","0","0","1"
5.79605775076537,4.1802,78,222,0.440307875860298,23,-0.745540075990592,-0.871733570554876,-1.00849981153411,-0.805837264150943,15,2,"Non_alcohol","Free","0","0","0","0","0","1","0","0","1","1","1","0","0","0","1","1","0","1","1","0","0","1"
0.693147180559945,3,3,2,-0.245088121267861,14,-0.403675333549106,0.0800877954162626,-0.353082952194789,-0.450781738586617,4,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1"
1.09861228866811,2.3333,3,3,-0.245088121267861,14,-0.398299258187082,0.126098076281552,-0.277742178665662,-0.372346698113208,4,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1"
1.94591014905531,3.25,0,8,-0.404219830266924,7,1.36077246736433,0.821346536675004,0.978061602110337,0.692370231394622,12,2,"Non_alcohol","None","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","1"
1.09861228866811,2.9,0,10,-0.404219830266924,7,1.3861045775285,0.839375069498499,0.965096117602714,0.708018867924528,12,2,"Non_alcohol","None","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","1"
3.17805383034795,4.0357,21,28,-0.229505521184918,16,0.69522062789945,1.33990097493747,1.40532898107908,1.19255784865541,8,2,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","1"
3.09104245335832,4.3333,21,30,-0.229505521184918,16,0.704975574452687,1.45318581118648,1.36338107802488,1.13531839622642,8,2,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","1"
5.13579843705026,4.1667,19,84,0.0599516781144292,8,-0.444456431833711,-0.432086162013169,0,-0.153971232020013,16,2,"Full_bar","Free","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","0","1"
3.58351893845611,4.0769,19,26,0.0599516781144292,8,-0.443929799167722,-0.456076948737907,0.0324726724462872,-0.0924528301886792,16,2,"Full_bar","Free","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","0","1"
2.83321334405622,3.25,11,28,0.088522971498483,11,-0.444456431833711,-0.432086162013169,0,-0.153971232020013,16,3,"Full_bar","Free","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1","0","1","1","1","0"
3.04452243772342,3.3846,11,26,0.088522971498483,11,-0.443929799167722,-0.456076948737907,0.0324726724462872,-0.0924528301886792,16,3,"Full_bar","Free","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1","0","1","1","1","0"
2.83321334405622,2.8,0,5,-0.0797812156855032,23,-0.657100730032006,-0.673370425195243,-0.613610916060957,-0.63827392120075,6,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1"
2.56494935746154,3.8333,0,6,-0.0797812156855032,23,-0.655581689886014,-0.707049927721561,-0.586373916321146,-0.546757075471698,6,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1"
4.04305126783455,3.1739,7,23,-0.317455029220377,11,0.0561009817671809,1.59435455055893,0.252747044199419,0.30462789243277,15,2,"Full_bar","Free","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","1"
3.78418963391826,3.5,7,22,-0.317455029220377,11,0.0258368011579519,1.75369732013788,0.296852619675839,0.368926886792453,15,2,"Full_bar","Free","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","1","1","0","1"
1.94591014905531,3,2,5,-0.460936120968031,0,-0.22879131154026,-0.589301209739166,-0.691306245611372,0.159599749843652,11,2,"Non_alcohol","None","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1"
1.94591014905531,2.6,2,5,-0.460936120968031,0,-0.206223991315361,-0.617146669631936,-0.68039954768187,0.198054245283019,11,2,"Non_alcohol","None","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","1"
3.46573590279973,3.9714,12,35,2.47833058482429,11,-0.0443053907289531,-0.462099943851769,0.00518095382688403,0,13,3,"Full_bar","None","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","0","1","1","1","1"
3.25809653802148,4,12,33,2.47833058482429,11,-0.0665460466799349,-0.472422995663294,0,0,13,3,"Full_bar","None","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","0","1","1","1","1"
4.23410650459726,3.9167,8,36,1.98234424258426,10,-0.490488006617039,0.470266959318054,-0.506234224659822,-0.394684177611007,19,2,"Beer_and_wine","Free","0","0","0","0","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1"
4.06044301054642,4.0789,8,38,1.98234424258426,10,-0.516410349194862,0.520627154453464,-0.507519788918206,-0.310672169811321,19,2,"Beer_and_wine","Free","0","0","0","0","0","0","1","0","1","1","1","0","0","0","1","1","1","0","1","1","1","1"
0.693147180559945,2,0,6,0.629565917511963,18,0.537526522098752,1.35419325200347,0.158465071261837,0.349280800500313,9,1,"Non_alcohol","None","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1"
2.07944154167984,4.75,5,8,-0.414132069474635,9,-0.318660768871148,-0.334745546424379,-0.595221376653445,-0.155222013758599,8,1,"Non_alcohol","None","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0"
1.79175946922805,4.9286,5,14,-0.414132069474635,9,-0.343694590193595,-0.33086845324141,-0.592084432717678,-0.11185141509434,8,1,"Non_alcohol","None","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0"
1.6094379124341,2.2,0,5,-0.352631090453019,14,-0.652461610385874,-0.768465111530805,-1.23301007723986,-0.648780487804878,8,2,"Full_bar","Free","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0"
